,Metric mean,Metric standard deviation,Hyperparameters
0,0.7968574608065504,0.009573971172340937,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
1,0.7968513962568173,0.009579016093449286,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
2,0.7968466584372516,0.009578910756293857,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
3,0.7968458975578215,0.009569793097502622,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.06, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
4,0.7957664521082123,0.00981278734712637,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.06, 'subsample': 0.5, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
5,0.7957619617162235,0.00981915952217382,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
6,0.7957618960441405,0.009819182409833803,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.5, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
7,0.7957617125975974,0.00981912252165475,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.5, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
8,0.7946632551553632,0.009876622534922186,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.4, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
9,0.7946629537783191,0.009876709762802912,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.4, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
10,0.7946533221755503,0.00987224381043065,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.4, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
11,0.7946528754240152,0.009871860765509057,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.06, 'subsample': 0.4, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
12,0.7932521434558841,0.010040550844115294,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.3, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
13,0.7932433415197006,0.010054366710381053,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.3, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
14,0.7932336159749914,0.01004684499978078,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.3, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
15,0.7932329871492451,0.01004238404593039,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 4, 'gamma': 0.06, 'subsample': 0.3, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
16,0.7733781537495127,0.010848906235791086,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 6, 'gamma': 0.02, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
17,0.7733667181104611,0.010887065287217534,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 6, 'gamma': 0.01, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
18,0.7733450655259715,0.010903317124529705,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 6, 'gamma': 0.06, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
19,0.7733202180199104,0.010790440914585723,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.005, 'max_depth': 6, 'gamma': 0.04, 'subsample': 0.6, 'gpu_id': 0, 'tree_method': 'gpu_hist'}"
