,RMSE mean,RMSE standard deviation,Hyperparameters
0,0.06733736432736294,0.0012960193337858042,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.7}"
1,0.06733376310829621,0.0013034288459006942,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.7}"
2,0.06732757783501797,0.001299398968494178,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.7}"
3,0.06702465392102484,0.0012509261505451732,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.6}"
4,0.0670155106269732,0.001264712099128807,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.6}"
5,0.06700511183551586,0.0012520079749288409,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.6}"
6,0.06669489217574631,0.0012282526309770215,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.5}"
7,0.06668510274183886,0.0012282481515323654,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.5}"
8,0.06666971414824838,0.0012328208200490616,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.5}"
9,0.05485368832892814,0.0010884486701961812,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.7}"
10,0.054804883615817444,0.0011043339597520349,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.7}"
11,0.05480372884180301,0.0011125017442792863,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 3, 'gamma': 0.01, 'subsample': 0.7}"
12,0.05450656115222805,0.0011098165302314265,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.6}"
